ID,Gender,Ever_Married,Age,Graduated,Profession,Family_Size,Car Purchased,Country Of Origin,Year Of Purchase,Salary,Fuel Type,Language Spoken 
1112,Male,No,22,No,Healthcare,4,Maker,China ,2016,60000,Petrol ,Mandarin
1113,Female,Yes,38,Yes,Engineer,3,Lexus,India,2017,45000,Petrol ,Hindi
1114,Female,Yes,67,Yes,Engineer,1,Alfa Romeo,Italy,2018,15000,Petrol ,Italian
1115,Male,Yes,67,Yes,Lawyer,2,Aston Martin,China ,2019,30000,Hybrid ,Mandarin
1116,Female,Yes,40,Yes,Entertainment,6,Audi,France,2009,90000,Petrol ,French 
1117,Male,Yes,56,No,Artist,2,Bentley,Italy,2010,30000,Petrol ,Italian
1118,Male,No,32,Yes,Healthcare,3,BMW,France,2011,45000,Diesel,English 
1119,Female,No,33,Yes,Healthcare,3,Cadillac,UK,2012,45000,Petrol ,English 
1120,Female,Yes,61,Yes,Engineer,3,Chevrolet,UK,2013,45000,Petrol ,English 
1121,Female,Yes,55,Yes,Artist,4,Chrysler,USA,2014,60000,Petrol ,English 
1122,Female,No,26,Yes,Engineer,3,Citroen,Poland,2015,45000,Petrol ,Polish
1123,Male,No,19,No,Healthcare,4,Corvette,Spain,2016,60000,Petrol ,Spanish
1124,Female,No,19,No,Executive,,Hyundai,Switzerland,2010,25000,Petrol ,German
1125,Male,Yes,70,No,Lawyer,1,Daewoo,Germany ,2011,15000,Petrol ,English 
1126,Female,Yes,58,No,Doctor,1,Daihatsu,Germany ,2012,15000,Petrol ,German 
1127,Female,No,41,No,Healthcare,2,Dodge,USA,2013,30000,Petrol ,English 
1128,Female,No,32,No,Homemaker,5,Kia,Mexico,2014,75000,Petrol ,English 
1129,Male,No,31,No,Healthcare,6,Ferrari,Malaysia,2015,90000,Petrol ,English 
1130,Male,Yes,58,Yes,Entertainment,4,Fiat,Japan,2016,60000,Petrol ,Japanese
1131,Female,Yes,79,Yes,Artist,1,Ford,Canada,2012,15000,Petrol ,English 
1132,Male,Yes,49,Yes,Homemaker,1,Honda,China ,2013,15000,Petrol ,Mandarin
1133,Female,No,18,No,Healthcare,4,Honda,India,2014,60000,Petrol ,English 
1134,Male,Yes,33,Yes,Artist,2,Hyundai,Italy,2015,30000,Petrol ,Italian
1135,Female,No,36,Yes,Artist,2,Infiniti,China ,2016,30000,Petrol ,Mandarin
1136,Female,,58,No,Executive,3,Isuzu,France,2017,45000,Petrol ,English 
1137,Male,Yes,56,No,Artist,3,Jaguar,Italy,2018,45000,Petrol ,Italian
1138,Male,No,31,No,Healthcare,8,Jeep,France,2016,120000,Petrol ,French 
1139,Male,Yes,49,Yes,Artist,3,Kia,UK,2017,45000,Petrol ,English 
1140,Male,No,35,Yes,Artist,1,Lamborghini,UK,2018,15000,Petrol ,English 
1141,Female,No,35,No,Artist,4,Land Rover,USA,2008,60000,Petrol ,English 
1142,Female,Yes,45,Yes,Artist,3,Lexus,Poland,2009,45000,Petrol ,Polish
1143,Female,Yes,42,No,Doctor,2,Lotus,Spain,2010,30000,Petrol ,Spanish
1144,Male,No,19,No,Healthcare,3,Maserati,Switzerland,2011,45000,Petrol ,German
1145,Male,No,26,No,Homemaker,,Maybach,Germany ,2010,25000,Petrol ,Russian 
1146,Female,Yes,83,No,Lawyer,2,Mazda,Germany ,2011,30000,Petrol ,Russian 
1147,Female,No,27,Yes,Healthcare,4,McLaren,USA,2012,60000,Petrol ,English 
1148,Male,No,32,No,Doctor,1,Mercedes-Benz,Mexico,2013,15000,Diesel,English 
1149,Female,Yes,28,No,Healthcare,5,MG,Malaysia,2020,75000,Petrol ,English 
1150,Female,Yes,28,Yes,Artist,2,MINI,Japan,2021,30000,Diesel,English 
1151,Male,Yes,56,Yes,Artist,2,Mitsubishi,Canada,2020,30000,Electric,French 
1152,Female,No,47,Yes,Artist,1,Nissan,UK,2021,15000,Hybrid,English 
1153,Female,No,22,No,Healthcare,2,Nissan,USA,2016,30000,Diesel,English 
1154,Female,No,27,Yes,Artist,3,Peugeot,Poland,2017,45000,Diesel,Polish
1155,Female,Yes,49,Yes,Artist,2,Porsche,Spain,2018,30000,Diesel,Spanish
1156,Male,Yes,40,No,Engineer,1,Proton,Switzerland,2019,15000,Diesel,German
1157,Female,Yes,79,No,Lawyer,2,Renault,Germany ,2009,30000,Diesel,Russian 
1158,Male,Yes,41,Yes,Artist,4,Rolls-Royce,Germany ,2010,60000,Diesel,Russian 
