Release_Date,Title,Overview,Genre
16/12/2022,Shazam! Fury of the Gods,The further adventures of crime-fighting superhero Shazam.,"Comedy, Action, Fantasy"
14/12/2022,Avatar 2,"Twelve years after exploring Pandora and joining the Na’vi, Jake Sully has since raised a family with Neytiri and established himself within the clans of the new world. Of course, peace can only last so long. Especially when the military organization from the original film returns to “finish what they started”.","Action, Adventure, Science Fiction, Fantasy"
23/11/2022,Creed III,The third installment of Creed franchise.,"Drama, Action"
09/11/2022,Black Panther: Wakanda Forever,The sequel to Black Panther (2018).,"Action, Adventure, Science Fiction"
19/10/2022,Black Adam,"Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods—and imprisoned just as quickly—Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.","Action, Fantasy, Adventure"
13/10/2022,Halloween Ends,"Four years after the traumatic events of Halloween 2018, the nightmare ends as Laurie Strode comes face to face with Michael Myers, once and for all.","Horror, Thriller"
12/10/2022,The Wasteland,"Lucía and her son live isolated from society in a flat place where there’s practically no life. The small family unit formed by mother and son hardly ever receives visitors, and their goal is to lead a quiet existence. At first they succeed, but the appearance of a mysterious, violent creature that starts stalking their small house will put the relationship that unites them to the test.","Drama, Horror, Thriller"
07/10/2022,Spider-Man: Across the Spider-Verse (Part One),"Miles Morales returns for the next chapter of the Spider-Verse saga, an epic adventure that will transport Brooklyn’s full-time, friendly neighborhood Spider-Man across the Multiverse to join forces with Gwen Stacy and a new team of Spider-People to face off with a villain more powerful than anything they have ever encountered.","Animation, Action, Science Fiction, Comedy, Adventure"
26/08/2022,Tad the Lost Explorer and the Mummy's Curse,"Tad would love for his archeologist colleagues to accept him as one of their own, but he always messes everything up. Tad accidentally destroys a sarcophagus and unleashes an ancient spell endangering the lives of his friends: Mummy, Jeff and Belzoni. With everyone against him and only helped by Sara, he sets off on an adventure that will take him from Mexico to Chicago and from Paris to Egypt, in order to put an end to the curse of the Mummy.","Adventure, Animation, Comedy, Family"
25/08/2022,After Ever Happy,"The fourth installment in The After Universe. As a shocking truth about a couple's families emerges, the two lovers discover they are not so different from each other. Tessa is no longer the sweet, simple, good girl she was when she met Hardin — any more than he is the cruel, moody boy she fell so hard for.",Romance
